[fit LOOCV KRR]: 0.005950253995251842, Target Domain: GREECE_3, 'AugKRR_MSE': 0.05247692100360029, 'AugKRR_selectedgamma': 0.38712032540851, 'AugKRR_selectedbest_alpha': 32.0}
[fit LOOCV KRR]: 0.005643804994178936, Target Domain: GREECE_4, 'AugKRR_MSE': 0.03466786647181053, 'AugKRR_selectedgamma': 0.3235821030493267, 'AugKRR_selectedbest_alpha': 8.0}
[fit LOOCV KRR]: 0.0057633800024632365, Target Domain: GREECE_5, 'AugKRR_MSE': 0.02592243661730675, 'AugKRR_selectedgamma': 0.351322305794288, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005744319001678377, Target Domain: GREECE_6, 'AugKRR_MSE': 0.10796136229925013, 'AugKRR_selectedgamma': 0.46346673002243316, 'AugKRR_selectedbest_alpha': 32.0}
[fit LOOCV KRR]: 0.006388598005287349, Target Domain: GREECE_7, 'AugKRR_MSE': 0.04410812194021338, 'AugKRR_selectedgamma': 0.7580434977181477, 'AugKRR_selectedbest_alpha': 0.5}
[fit LOOCV KRR]: 0.005912690001423471, Target Domain: GREECE_8, 'AugKRR_MSE': 0.08765146490512048, 'AugKRR_selectedgamma': 1.1524993047789664, 'AugKRR_selectedbest_alpha': 0.0625}
[fit LOOCV KRR]: 0.005642835996695794, Target Domain: GREECE_9, 'AugKRR_MSE': 0.05873882115154786, 'AugKRR_selectedgamma': 0.7065541459766412, 'AugKRR_selectedbest_alpha': 2.0}
[fit LOOCV KRR]: 0.00565360501059331, Target Domain: GREECE_0, 'AugKRR_MSE': 0.042928979054073, 'AugKRR_selectedgamma': 0.484271609697797, 'AugKRR_selectedbest_alpha': 32.0}
[fit LOOCV KRR]: 0.006551784012117423, Target Domain: IRELAND_1, 'AugKRR_MSE': 0.011566603015388015, 'AugKRR_selectedgamma': 1.293531396759421, 'AugKRR_selectedbest_alpha': 4.0}
[fit LOOCV KRR]: 0.005419605993665755, Target Domain: IRELAND_2, 'AugKRR_MSE': 0.0055673245704946465, 'AugKRR_selectedgamma': 0.9500029270837469, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.005792500000097789, Target Domain: IRELAND_3, 'AugKRR_MSE': 0.006021156672712042, 'AugKRR_selectedgamma': 1.4292063203937073, 'AugKRR_selectedbest_alpha': 0.125}
[fit LOOCV KRR]: 0.005487271002493799, Target Domain: IRELAND_4, 'AugKRR_MSE': 0.01077927168910166, 'AugKRR_selectedgamma': 1.6703333761703418, 'AugKRR_selectedbest_alpha': 4.0}
[fit LOOCV KRR]: 0.006020747998263687, Target Domain: IRELAND_5, 'AugKRR_MSE': 0.01216491951416445, 'AugKRR_selectedgamma': 1.1865130673276412, 'AugKRR_selectedbest_alpha': 2.0}
[fit LOOCV KRR]: 0.006434451992390677, Target Domain: IRELAND_6, 'AugKRR_MSE': 0.011730458778304713, 'AugKRR_selectedgamma': 1.7804003099538164, 'AugKRR_selectedbest_alpha': 4.0}
[fit LOOCV KRR]: 0.007188393996329978, Target Domain: IRELAND_7, 'AugKRR_MSE': 0.0052831008516092855, 'AugKRR_selectedgamma': 1.9199117301081905, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.011304964005830698, Target Domain: IRELAND_8, 'AugKRR_MSE': 0.005348168837101484, 'AugKRR_selectedgamma': 1.4407881478461966, 'AugKRR_selectedbest_alpha': 0.03125}
[fit LOOCV KRR]: 0.005584065002040006, Target Domain: IRELAND_9, 'AugKRR_MSE': 0.005976654042273686, 'AugKRR_selectedgamma': 1.4806141710303977, 'AugKRR_selectedbest_alpha': 0.125}
[fit LOOCV KRR]: 0.007734970000456087, Target Domain: IRELAND_0, 'AugKRR_MSE': 0.005359759119767333, 'AugKRR_selectedgamma': 2.3719221505127406, 'AugKRR_selectedbest_alpha': 0.0625}
[fit LOOCV KRR]: 0.005970458994852379, Target Domain: ITALY_1, 'AugKRR_MSE': 0.038806516576882104, 'AugKRR_selectedgamma': 0.9270904573772274, 'AugKRR_selectedbest_alpha': 0.0078125}
[fit LOOCV KRR]: 0.005603294994216412, Target Domain: ITALY_2, 'AugKRR_MSE': 0.019138669237073816, 'AugKRR_selectedgamma': 0.6891686662632575, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005474153003888205, Target Domain: ITALY_3, 'AugKRR_MSE': 0.05247448514884379, 'AugKRR_selectedgamma': 0.8527868439403605, 'AugKRR_selectedbest_alpha': 0.5}
[fit LOOCV KRR]: 0.005984395000268705, Target Domain: ITALY_4, 'AugKRR_MSE': 0.01349207879445478, 'AugKRR_selectedgamma': 1.4945167655277296, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.007858248995034955, Target Domain: ITALY_5, 'AugKRR_MSE': 0.08669499437952252, 'AugKRR_selectedgamma': 1.4945167655277296, 'AugKRR_selectedbest_alpha': 0.001953125}
[fit LOOCV KRR]: 0.015060696998261847, Target Domain: ITALY_6, 'AugKRR_MSE': 0.01257745616002992, 'AugKRR_selectedgamma': 0.6690949528733696, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.0077255090000107884, Target Domain: ITALY_7, 'AugKRR_MSE': 0.05899012101794408, 'AugKRR_selectedgamma': 0.5150633800922716, 'AugKRR_selectedbest_alpha': 0.03125}
[fit LOOCV KRR]: 0.005589979991782457, Target Domain: ITALY_8, 'AugKRR_MSE': 0.06864001758515018, 'AugKRR_selectedgamma': 1.4945167655277296, 'AugKRR_selectedbest_alpha': 0.00390625}
[fit LOOCV KRR]: 0.00562040600925684, Target Domain: ITALY_9, 'AugKRR_MSE': 0.09771864197093239, 'AugKRR_selectedgamma': 0.9581262964333264, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005987876997096464, Target Domain: ITALY_0, 'AugKRR_MSE': 0.02271451043700764, 'AugKRR_selectedgamma': 0.6204133428625584, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.00582484899496194, Target Domain: JAPAN_1, 'AugKRR_MSE': 0.005040822613569699, 'AugKRR_selectedgamma': 0.4642170200833669, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.0055615930032217875, Target Domain: JAPAN_2, 'AugKRR_MSE': 0.008943469619198084, 'AugKRR_selectedgamma': 0.1608946746286654, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.006060907995561138, Target Domain: JAPAN_3, 'AugKRR_MSE': 0.00361056826487568, 'AugKRR_selectedgamma': 0.1812024365130224, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005947194003965706, Target Domain: JAPAN_4, 'AugKRR_MSE': 0.005772086750588974, 'AugKRR_selectedgamma': 0.2736541127436536, 'AugKRR_selectedbest_alpha': 0.0078125}
[fit LOOCV KRR]: 0.0057334199955221266, Target Domain: JAPAN_5, 'AugKRR_MSE': 0.00635027960949161, 'AugKRR_selectedgamma': 0.17936425027178945, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.00580746699415613, Target Domain: JAPAN_6, 'AugKRR_MSE': 0.005847495031644413, 'AugKRR_selectedgamma': 0.45430575382124133, 'AugKRR_selectedbest_alpha': 0.125}
[fit LOOCV KRR]: 0.005831683010910638, Target Domain: JAPAN_7, 'AugKRR_MSE': 0.006699733825741499, 'AugKRR_selectedgamma': 0.2626894238233839, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005820994003443047, Target Domain: JAPAN_8, 'AugKRR_MSE': 0.0054795465785036, 'AugKRR_selectedgamma': 0.36746770704994103, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005751121003413573, Target Domain: JAPAN_9, 'AugKRR_MSE': 0.003528937722970462, 'AugKRR_selectedgamma': 0.6787226646716618, 'AugKRR_selectedbest_alpha': 0.125}
[fit LOOCV KRR]: 0.005957920991932042, Target Domain: JAPAN_0, 'AugKRR_MSE': 0.008752996934593787, 'AugKRR_selectedgamma': 0.524843128448666, 'AugKRR_selectedbest_alpha': 0.0078125}
[fit LOOCV KRR]: 0.006081187995732762, Target Domain: NETHERLA_1, 'AugKRR_MSE': 0.013627540387749977, 'AugKRR_selectedgamma': 0.6271910518535598, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005880048003746197, Target Domain: NETHERLA_2, 'AugKRR_MSE': 0.02037090220128484, 'AugKRR_selectedgamma': 0.596061353788482, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005876991999684833, Target Domain: NETHERLA_3, 'AugKRR_MSE': 0.008469844577986852, 'AugKRR_selectedgamma': 0.4405716400245046, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.005791054994915612, Target Domain: NETHERLA_4, 'AugKRR_MSE': 0.010101455117353823, 'AugKRR_selectedgamma': 0.34991506809474826, 'AugKRR_selectedbest_alpha': 0.25}
[fit LOOCV KRR]: 0.006112154995207675, Target Domain: NETHERLA_5, 'AugKRR_MSE': 0.0282263993817205, 'AugKRR_selectedgamma': 1.36059951590405, 'AugKRR_selectedbest_alpha': 0.25}
[fit LOOCV KRR]: 0.006346780995954759, Target Domain: NETHERLA_6, 'AugKRR_MSE': 0.015555653889365998, 'AugKRR_selectedgamma': 2.245094286315535, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.00630706999800168, Target Domain: NETHERLA_7, 'AugKRR_MSE': 0.025680022719735098, 'AugKRR_selectedgamma': 1.2192524655113837, 'AugKRR_selectedbest_alpha': 0.0009765625}
[fit LOOCV KRR]: 0.0058727489958982915, Target Domain: NETHERLA_8, 'AugKRR_MSE': 0.02593147632440207, 'AugKRR_selectedgamma': 3.2734974984020098, 'AugKRR_selectedbest_alpha': 0.0078125}
[fit LOOCV KRR]: 0.0058841879945248365, Target Domain: NETHERLA_9, 'AugKRR_MSE': 0.02017047899266394, 'AugKRR_selectedgamma': 3.2734974984020098, 'AugKRR_selectedbest_alpha': 0.015625}
[fit LOOCV KRR]: 0.004532499995548278, Target Domain: NETHERLA_0, 'AugKRR_MSE': 0.015430716227198844, 'AugKRR_selectedgamma': 2.7033593489196495, 'AugKRR_selectedbest_alpha': 0.0625}
[fit LOOCV KRR]: 0.005734033009503037, Target Domain: NORWAY_1, 'AugKRR_MSE': 0.008466828470745362, 'AugKRR_selectedgamma': 1.4613348057716231, 'AugKRR_selectedbest_alpha': 0.5}
[fit LOOCV KRR]: 0.005886375991394743, Target Domain: NORWAY_2, 'AugKRR_MSE': 0.01260992406718581, 'AugKRR_selectedgamma': 0.7706450121335378, 'AugKRR_selectedbest_alpha': 0.125}
